standard,trafficMode,nUsers,minLoadMbps,maxLoadMbps,packetSize,totalDlMbps,totalUlMbps,totalNetworkMbps,jainFairness,avgDelayMs,spectralEfficiencyBpsPerHz,packetDropRatePercent
ax,both,4,0,5,1200,1.9146,1.9146,3.8292,0.8592,0.5633,0.0479,0.0000
ax,both,4,0,20,1200,7.6616,7.6660,15.3276,0.8597,0.6804,0.1916,0.0427
ax,both,4,0,30,1200,11.4886,11.4974,22.9860,0.8599,1.6142,0.2873,0.0854
ax,both,4,10,20,1200,12.9076,12.9218,25.8295,0.9859,2.0859,0.3229,0.1140
ax,both,4,10,30,1200,16.7335,16.7477,33.4813,0.9671,4.0206,0.4185,0.1400
ax,both,8,0,5,1200,4.8869,4.8869,9.7738,0.8281,0.6956,0.1222,0.0000
ax,both,8,0,20,1200,19.5236,19.4843,39.0078,0.8287,33.1435,0.4876,0.2957
ax,both,8,0,30,1200,28.2997,29.1369,57.4366,0.8263,104.9412,0.7180,2.1333
ax,both,8,10,20,1200,27.7353,27.8587,55.5940,0.9753,70.9241,0.6949,0.6224
ax,both,8,10,30,1200,35.7222,37.5026,73.2248,0.9486,159.5357,0.9153,3.0228
ax,both,20,0,5,1200,10.2279,10.6885,20.9164,0.7532,18.3003,0.2615,2.5430
ax,both,20,0,20,1200,19.6829,37.4349,57.1178,0.7903,249.3256,0.7140,33.5176
ax,both,20,0,30,1200,18.2628,49.6450,67.9079,0.8002,325.9443,0.8488,47.3110
ax,both,20,10,20,1200,36.0039,50.8043,86.8081,0.9756,369.7366,1.0851,35.1742
ax,both,20,10,30,1200,27.3478,57.4497,84.7975,0.9771,350.4453,1.0600,52.0587
ax,downlink,4,0,5,1200,3.8325,0.0000,3.8325,0.8595,0.1311,0.0479,0.0000
ax,downlink,4,0,20,1200,15.3233,0.0000,15.3233,0.8600,0.2105,0.1915,0.0854
ax,downlink,4,0,30,1200,22.9805,0.0000,22.9805,0.8601,0.4144,0.2873,0.1139
ax,downlink,4,10,20,1200,25.8306,0.0000,25.8306,0.9860,0.7077,0.3229,0.1140
ax,downlink,4,10,30,1200,33.4878,0.0000,33.4878,0.9672,0.8240,0.4186,0.1237
